No,PORTNAME
1233,OKINAWA
1234,NEW CASTLE
1235,IN PESCA GUINEA BISSAU
1236,ANTAN
1237,LONDRA
1238,NOUMEA
1239,AVIANO
1240,CAPO TEULADA
1241,GUINEA
1242,CIGADING
1243,ARATU
1244,ALBARELLA
1245,CHANGJIOING
1246,CANAPORT
1247,CRETA
1248,ABBOT POINT
1249,SCOZIA
1250,ANVERSA
1251,TEESPORT
1252,WALLAM
1253,PORT LA CRUZ
1254,BONAIRE
1255,MUNDRA
1256,VIBO VALENTIA
1257,CALCUTTA
1258,LAS VENTANAS
1259,GRESIK
1260,SIDNEY
1261,GABON
1262,KUNSAN
1263,ILO
1264,ZIET BAY
1265,SOUTHAMPTON
1266,ISRAELE
1267,NAVE POSACAVI
1268,KUSHIRO
1269,CABO DE GATA
1270,NAMPO
1271,MUNGUBA
1272,WHYALLA
1273,THAILANDIA
1274,CINA
1275,ST PETERSBURG
1276,KIMANIS
1277,PARMA
1278,STUBAL
1279,SLAGEN
1280,PORTSMOUTH
1281,USA
1282,POINTE TUPPER
1283,VADA (LIGURIA)
1284,BAMBIN GESU
1285,SARAWAK
1286,KARIMUN
1287,SALALAH
1288,DURRES
1289,MUHAMMAD BIN QASIM
1290,KALBUT SITUBONDO
1291,ISOAL DI VENTOTENE
1292,PORT BURY
1293,BLYTH
1294,GOLFO MESSICO
1295,MOZAMBICO
1296,KHARG ISLAND
1297,TEULADA
1298,TOLONE
1299,SAN REMO
1300,LUXOR
1301,NORD EUROPA
1302,FALMOUTH
1303,RABIGH BAY
1304,SIBARI
1305,GERALDTON
1306,KOCHIN
1307,SAINT EUSTATIUS
1308,COSTANZA
1309,LATTA
1310,LAUTOKA
1311,EMSTED
1312,SEPT ILES
1313,EUREKA
1314,MINA AL BAKR
1315,GIBUTI
1316,SOUTHEND
1317,E.LONDON
1318,ST GEORGE GRENADA
1319,DAMMAM
1320,BENETE
1321,SOUTH KOREA
1322,PORT CABELLO
1323,BOLIVAR
1324,ST ROSE
1325,SERGIPE
1326,COLOMBIA
1327,PETIT COURON
1328,ST. JOHAN
1329,ST JOHAN
1330,ARGENTARIO
1331,PUERTO DRUMMOND
1332,NON PREVISTO
1333,HAWAII
1334,HIKARI
1335,SHIMUZU
1336,HIBI
1337,ST NAZAR
1338,BRASILE
1339,BATANGAS
1340,STANVAC
1341,ULSHAVEN
1342,BELAWAN
1343,CORONEL
1344,BROFJORDEN
1345,PORT KIIRE
1346,NORD AUSTRALIA
1347,GAND
1348,SAIGON
1349,SAN VINCENTE
1350,PORT BLAIR
